,name,chamber,party,state,district,date,content,replyCount,retweetCount,likeCount,quoteCount,handle,platform,url,photos,news,text,toke,superBERT,enga,cvs
10,Benjamin L. Cardin,Senate,Democrat,MD,,2021-10-05 02:18:36+00:00,The Pandora Papers are a wake-up call for anyone who cares about the future of democracy. The sheer scale of illicit financial flows entering the US is astonishing. Kleptocrats have stolen untold sums and laundered them into our country and those of our allies. #PandoraLeaks,10,83,182,1,senatorcardin,Twitter,https://twitter.com/SenatorCardin/status/1445211790611189761,,[],pandora papers wakeup call anyone cares future democracy sheer scale illicit financial flows entering us astonishing kleptocrats stolen untold sums laundered country allies pandoraleaks,"['pandora', 'papers', 'wakeup', 'call', 'anyone', 'cares', 'future', 'democracy', 'sheer', 'scale', 'illicit', 'financial', 'flows', 'entering', 'us', 'astonishing', 'kleptocrats', 'stolen', 'untold', 'sums', 'laundered', 'country', 'allies', 'pandoraleaks']",0,276,False
11,Benjamin L. Cardin,Senate,Democrat,MD,,2021-10-05 02:18:36+00:00,This poses a direct threat to US national security by hollowing out the rule of law abroad and threatening to do the same at home. It is more important than ever that we purge dirty money from our system and deny kleptocrats safe haven. washingtonpost.com/business/inter…,1,17,61,0,senatorcardin,Twitter,https://twitter.com/SenatorCardin/status/1445211792137932809,,['https://www.washingtonpost.com/business/interactive/2021/pandora-papers-offshore-finance/?itid=lk_inline_manual_2'],poses direct threat us national security hollowing rule law abroad threatening home important ever purge dirty money system deny kleptocrats safe washingtonpostcombusinessinter,"['poses', 'direct', 'threat', 'us', 'national', 'security', 'hollowing', 'rule', 'law', 'abroad', 'threatening', 'home', 'important', 'ever', 'purge', 'dirty', 'money', 'system', 'deny', 'kleptocrats', 'safe', 'washingtonpostcombusinessinter']",0,79,False
12,Joni Ernst,Senate,Republican,IA,,2021-10-05 02:15:59+00:00,"Hundreds of Afghan evacuees have left U.S. military bases without undergoing proper vetting.
 
I’m pressing the Biden Administration for answers. washingtonexaminer.com/news/at-least-…",43,21,92,3,senjoniernst,Twitter,https://twitter.com/SenJoniErnst/status/1445211134085185541,,['https://www.washingtonexaminer.com/news/at-least-700-afghans-leave-military-bases-before-resettlement'],hundreds afghan evacuees left us military bases without undergoing proper vettingim pressing biden administration answers washingtonexaminercomnewsatleast,"['hundreds', 'afghan', 'evacuees', 'left', 'us', 'military', 'bases', 'without', 'undergoing', 'proper', 'vettingim', 'pressing', 'biden', 'administration', 'answers', 'washingtonexaminercomnewsatleast']",8,159,False
13,Ron Johnson,Senate,Republican,WI,,2021-10-05 02:10:48+00:00,"The question all Americans should be asking: did Dr. Fauci and our federal health agencies’ policy prescriptions work? 

700,000 dead, the human toll, the economic devastation, and trillions added to our debt. https://t.co/PxdCW8Zbmg",570,1263,2927,116,senronjohnson,Twitter,https://twitter.com/SenRonJohnson/status/1445209830151663621,https://pbs.twimg.com/amplify_video_thumb/1445200087483928578/img/RHfLqtmzLlrbIBG9.jpg,[],question americans asking dr fauci federal health agencies policy prescriptions work dead human toll economic devastation trillions added debt,"['question', 'americans', 'asking', 'dr', 'fauci', 'federal', 'health', 'agencies', 'policy', 'prescriptions', 'work', 'dead', 'human', 'toll', 'economic', 'devastation', 'trillions', 'added', 'debt']",0,4876,False
14,Jacky Rosen,Senate,Democrat,NV,,2021-10-05 01:58:27+00:00,"Last week my team celebrated Hispanic Heritage Month at @USHCC’s National Conference. Thank you to USHCC for choosing Las Vegas for their event, and for all they do to support Hispanic-owned businesses. Congrats to @OfficialPeterG_ &amp; @RAConomics for earning a key to the city! twitter.com/lvlcc/status/1…",1,6,22,2,senjackyrosen,Twitter,https://twitter.com/SenJackyRosen/status/1445206722382028800,,['https://twitter.com/lvlcc/status/1443326477760663554'],last week team celebrated hispanic heritage month national conference thank ushcc choosing las vegas event support hispanicowned businesses congrats earning key city twittercomlvlccstatus1,"['last', 'week', 'team', 'celebrated', 'hispanic', 'heritage', 'month', 'national', 'conference', 'thank', 'ushcc', 'choosing', 'las', 'vegas', 'event', 'support', 'hispanicowned', 'businesses', 'congrats', 'earning', 'key', 'city', 'twittercomlvlccstatus1']",13,31,False
15,Marsha Blackburn,Senate,Republican,TN,,2021-10-05 01:51:41+00:00,"Communist China is a national security threat, and it’s time Biden starts treating them like one.",271,387,1733,36,marshablackburn,Twitter,https://twitter.com/MarshaBlackburn/status/1445205018878124037,,[],communist china national security threat time biden starts treating like one,"['communist', 'china', 'national', 'security', 'threat', 'time', 'biden', 'starts', 'treating', 'like', 'one']",9,2427,False
16,Tom Cotton,Senate,Republican,AR,,2021-10-05 01:44:05+00:00,Parents are speaking out against Critical Race Theory in schools. Now the Biden administration is cracking down on dissent. twitter.com/realchrisrufo/…,494,1506,3303,109,sentomcotton,Twitter,https://twitter.com/SenTomCotton/status/1445203103280734209,,['https://twitter.com/realchrisrufo/status/1445167453105897475'],parents speaking critical race theory schools biden administration cracking dissent twittercomrealchrisrufo,"['parents', 'speaking', 'critical', 'race', 'theory', 'schools', 'biden', 'administration', 'cracking', 'dissent', 'twittercomrealchrisrufo']",24,5412,False
17,Lisa Murkowski,Senate,Republican,AK,,2021-10-05 01:44:00+00:00,We are heading into the final rounds of #FatBearWeek—the best way to celebrate some of Alaska’s finest and “healthiest” bears living in @KatmaiNPS. You can vote by visiting fatbearweek.org. twitter.com/NatlParkServic… https://t.co/aFbNuZ5ITz,16,8,42,5,lisamurkowski,Twitter,https://twitter.com/lisamurkowski/status/1445203083009593347,https://pbs.twimg.com/ext_tw_video_thumb/1445145684194308096/pu/img/sk6c7iUeQtXp05Z6.jpg,"['http://fatbearweek.org', 'https://twitter.com/NatlParkService/status/1445095087147520013']",heading final rounds fatbearweekthe best way celebrate alaskas finest healthiest bears living vote visiting fatbearweekorg twittercomnatlparkservic,"['heading', 'final', 'rounds', 'fatbearweekthe', 'best', 'way', 'celebrate', 'alaskas', 'finest', 'healthiest', 'bears', 'living', 'vote', 'visiting', 'fatbearweekorg', 'twittercomnatlparkservic']",-1,71,False
18,Rob Portman,Senate,Republican,OH,,2021-10-05 01:08:11+00:00,"Today, I released text of bipartisan legislation w/ @SenGaryPeters to strengthen cybersecurity across the federal govt, ensure attacks on fed networks &amp; contractors are reported to @CISAgov &amp; Congress promptly, &amp; clarify roles &amp; responsibilities in federal cybersecurity.",9,2,8,0,senrobportman,Twitter,https://twitter.com/senrobportman/status/1445194069312000003,,[],today released text bipartisan legislation w strengthen cybersecurity across federal govt ensure attacks fed networks contractors reported congress promptly clarify roles responsibilities federal cybersecurity,"['today', 'released', 'text', 'bipartisan', 'legislation', 'w', 'strengthen', 'cybersecurity', 'across', 'federal', 'govt', 'ensure', 'attacks', 'fed', 'networks', 'contractors', 'reported', 'congress', 'promptly', 'clarify', 'roles', 'responsibilities', 'federal', 'cybersecurity']",23,19,False
19,Rob Portman,Senate,Republican,OH,,2021-10-05 01:08:11+00:00,By updating #FISMA this bipartisan bill will provide the security Americans deserve &amp; the accountability necessary to resolve longstanding weaknesses in federal cybersecurity. bit.ly/3BetLDy,14,1,3,0,senrobportman,Twitter,https://twitter.com/senrobportman/status/1445194071165882371,,['https://bit.ly/3BetLDy'],updating fisma bipartisan bill provide security americans deserve accountability necessary resolve longstanding weaknesses federal cybersecurity bitly3betldy,"['updating', 'fisma', 'bipartisan', 'bill', 'provide', 'security', 'americans', 'deserve', 'accountability', 'necessary', 'resolve', 'longstanding', 'weaknesses', 'federal', 'cybersecurity', 'bitly3betldy']",23,18,False
20,Rick Scott,Senate,Republican,FL,,2021-10-05 00:56:00+00:00,To say that Democrats can’t raise the debt ceiling on their own is a lie and the president knows it. twitter.com/POTUS/status/1…,138,46,207,12,senrickscott,Twitter,https://twitter.com/SenRickScott/status/1445191005981003777,,['https://twitter.com/POTUS/status/1445184518609154049'],say democrats cant raise debt ceiling lie president knows twittercompotusstatus1,"['say', 'democrats', 'cant', 'raise', 'debt', 'ceiling', 'lie', 'president', 'knows', 'twittercompotusstatus1']",0,403,False
21,Bill Hagerty,Senate,Republican,TN,,2021-10-05 00:48:53+00:00,"Inflation is the most pernicious tax of all, and it’s hitting every American.
 
And just think about the inflation that Democrats and the Biden Administration are going to induce by dumping another 5 or 6 trillion of stimulus spending into the economy. https://t.co/dCwZ3S5fRk",9,4,17,0,senatorhagerty,Twitter,https://twitter.com/SenatorHagerty/status/1445189212081430532,https://pbs.twimg.com/ext_tw_video_thumb/1445189153700958209/pu/img/U-SOdjQZf_fQXdye.jpg,[],inflation pernicious tax hitting every americanand think inflation democrats biden administration going induce dumping another trillion stimulus spending economy,"['inflation', 'pernicious', 'tax', 'hitting', 'every', 'americanand', 'think', 'inflation', 'democrats', 'biden', 'administration', 'going', 'induce', 'dumping', 'another', 'trillion', 'stimulus', 'spending', 'economy']",0,30,False
22,Amy Klobuchar,Senate,Democrat,MN,,2021-10-05 00:46:40+00:00,"When companies face little competition &amp; have no rules of the road, we know what happens—they play fast &amp; loose—or to quote Facebook, they ‘move fast &amp; break things.’ That's why I continue to advocate for much-needed changes to our laws on antitrust, privacy, &amp; consumer safety. twitter.com/60Minutes/stat…",14,50,137,1,senamyklobuchar,Twitter,https://twitter.com/SenAmyKlobuchar/status/1445188656025772033,,['https://twitter.com/60Minutes/status/1444812652698652675'],companies face little competition rules road know happensthey play fast looseor quote facebook move fast break things thats continue advocate muchneeded changes laws antitrust privacy consumer safety twittercom60minutesstat,"['companies', 'face', 'little', 'competition', 'rules', 'road', 'know', 'happensthey', 'play', 'fast', 'looseor', 'quote', 'facebook', 'move', 'fast', 'break', 'things', 'thats', 'continue', 'advocate', 'muchneeded', 'changes', 'laws', 'antitrust', 'privacy', 'consumer', 'safety', 'twittercom60minutesstat']",4,202,False
23,Alex Padilla,Senate,Democrat,CA,,2021-10-05 00:36:55+00:00,"Proud to see CA lead the way in signing our state's Momnibus Act into law today.

Congress must follow suit &amp; pass the #Momnibus to combat the maternal health crisis—including my bill with @SenatorWarnock to fight systemic disparities &amp; racial bias in our health care system.",9,21,117,1,senalexpadilla,Twitter,https://twitter.com/SenAlexPadilla/status/1445186200827056130,,[],proud see ca lead way signing states momnibus act law todaycongress must follow suit pass themomnibusto combat maternal health crisisincluding bill withto fight systemic disparities racial bias health care system,"['proud', 'see', 'ca', 'lead', 'way', 'signing', 'states', 'momnibus', 'act', 'law', 'todaycongress', 'must', 'follow', 'suit', 'pass', 'themomnibusto', 'combat', 'maternal', 'health', 'crisisincluding', 'bill', 'withto', 'fight', 'systemic', 'disparities', 'racial', 'bias', 'health', 'care', 'system']",5,148,False
24,Tommy Tuberville,Senate,Republican,AL,,2021-10-05 00:34:11+00:00,Congratulations to @LockheedMartin on its latest Hypersonic Missile Assembly Building. This new installation will bring additional excellent jobs and economic opportunities to our state while continuing to advance our national defense capabilities. twitter.com/yhn/status/144…,5,12,30,0,sentuberville,Twitter,https://twitter.com/SenTuberville/status/1445185512982126597,,['https://twitter.com/yhn/status/1445101930301251584'],congratulations latest hypersonic missile assembly building new installation bringadditionalexcellent jobs economic opportunities state continuing advance national defense capabilities twittercomyhnstatus144,"['congratulations', 'latest', 'hypersonic', 'missile', 'assembly', 'building', 'new', 'installation', 'bringadditionalexcellent', 'jobs', 'economic', 'opportunities', 'state', 'continuing', 'advance', 'national', 'defense', 'capabilities', 'twittercomyhnstatus144']",-1,47,False
25,Lisa Murkowski,Senate,Republican,AK,,2021-10-05 00:31:00+00:00,"Congratulations to @kpbsd's Soldotna Montessori Charter School for being named a National Blue Ribbon School by the @usedgov—an outstanding recognition for their dedication to setting young Alaskans up for successful futures. 
peninsulaclarion.com/news/like-were…",2,3,16,1,lisamurkowski,Twitter,https://twitter.com/lisamurkowski/status/1445184711945555971,,['https://www.peninsulaclarion.com/news/like-were-a-blue-ribbon-school-every-year/'],congratulations soldotna montessori charter school named national blue ribbon school outstanding recognition dedication setting young alaskans successful futures peninsulaclarioncomnewslikewere,"['congratulations', 'soldotna', 'montessori', 'charter', 'school', 'named', 'national', 'blue', 'ribbon', 'school', 'outstanding', 'recognition', 'dedication', 'setting', 'young', 'alaskans', 'successful', 'futures', 'peninsulaclarioncomnewslikewere']",-1,22,False
26,"Robert P. Casey, Jr.",Senate,Democrat,PA,,2021-10-05 00:24:39+00:00,"For weeks, Senate Republicans have told @SenateDems to go it alone and raise the ceiling ourselves. So we did that and sought to raise the debt ceiling with only Democratic votes.

They blocked that, too. 

It’s bad-faith political theater. It’s shameful. It has to stop.",14,22,126,1,senbobcasey,Twitter,https://twitter.com/SenBobCasey/status/1445183113408258050,,[],weeks senate republicans told go alone raise ceiling sought raise debt ceiling democratic votesthey blocked badfaith political theater shameful stop,"['weeks', 'senate', 'republicans', 'told', 'go', 'alone', 'raise', 'ceiling', 'sought', 'raise', 'debt', 'ceiling', 'democratic', 'votesthey', 'blocked', 'badfaith', 'political', 'theater', 'shameful', 'stop']",0,163,False
27,"Robert P. Casey, Jr.",Senate,Democrat,PA,,2021-10-05 00:24:38+00:00,Senate Republicans aren’t just playing politics with the Nation’s economy and creditworthiness by refusing to raise the debt ceiling (…for debts incurred largely under the previous president): They’re blocking us from acting.,12,32,119,2,senbobcasey,Twitter,https://twitter.com/SenBobCasey/status/1445183111608913923,,[],senate republicans arent playing politics nations economy creditworthiness refusing raise debt ceiling debts incurred largely previous president theyre blocking us acting,"['senate', 'republicans', 'arent', 'playing', 'politics', 'nations', 'economy', 'creditworthiness', 'refusing', 'raise', 'debt', 'ceiling', 'debts', 'incurred', 'largely', 'previous', 'president', 'theyre', 'blocking', 'us', 'acting']",0,165,False
28,Maria Cantwell,Senate,Democrat,WA,,2021-10-05 00:15:56+00:00,"To shine a light on this and other pipeline safety problems and the impact accidents have on our economy, the Commerce Committee will hold a hearing if necessary to keep those responsible accountable and make sure the pipeline safety enforcement program is working. (3/3)",4,9,49,0,senatorcantwell,Twitter,https://twitter.com/SenatorCantwell/status/1445180919778844680,,[],shine light pipeline safety problems impact accidents economy commerce committee hold hearing necessary keep responsible accountable make sure pipeline safety enforcement program working,"['shine', 'light', 'pipeline', 'safety', 'problems', 'impact', 'accidents', 'economy', 'commerce', 'committee', 'hold', 'hearing', 'necessary', 'keep', 'responsible', 'accountable', 'make', 'sure', 'pipeline', 'safety', 'enforcement', 'program', 'working']",14,62,False
29,Maria Cantwell,Senate,Democrat,WA,,2021-10-05 00:15:55+00:00,"I am closely monitoring the federal investigation into the cause of the oil spill in California, and the federal government’s response and clean up efforts. (2/3)",4,9,51,0,senatorcantwell,Twitter,https://twitter.com/SenatorCantwell/status/1445180918713438209,,[],closely monitoring federal investigation cause oil spill california federal governments response clean efforts,"['closely', 'monitoring', 'federal', 'investigation', 'cause', 'oil', 'spill', 'california', 'federal', 'governments', 'response', 'clean', 'efforts']",14,64,False
30,Maria Cantwell,Senate,Democrat,WA,,2021-10-05 00:15:55+00:00,Pipelines transporting crude oil must be held to the highest safety standards because when they leak the consequences are devastating to the natural environment and can take decades to clean up. (1/3) twitter.com/seattletimes/s…,13,21,79,1,senatorcantwell,Twitter,https://twitter.com/SenatorCantwell/status/1445180917170020352,,['https://twitter.com/seattletimes/status/1444800358644166661'],pipelines transporting crude oil must held highest safety standards leak consequences devastating natural environment take decades clean twittercomseattletimess,"['pipelines', 'transporting', 'crude', 'oil', 'must', 'held', 'highest', 'safety', 'standards', 'leak', 'consequences', 'devastating', 'natural', 'environment', 'take', 'decades', 'clean', 'twittercomseattletimess']",14,114,False
31,Charles E. Schumer,Senate,Democrat,NY,,2021-10-05 00:10:45+00:00,"The members of @IATSE are standing together to fight for a fair contract, and I’m so proud to stand with them! twitter.com/iatse/status/1…",78,75,436,7,senschumer,Twitter,https://twitter.com/SenSchumer/status/1445179618235977733,,['https://twitter.com/iatse/status/1445090649624268801'],members standing together fight fair contract im proud stand twittercomiatsestatus1,"['members', 'standing', 'together', 'fight', 'fair', 'contract', 'im', 'proud', 'stand', 'twittercomiatsestatus1']",2,596,False
32,Raphael G. Warnock,Senate,Democrat,GA,,2021-10-05 00:06:35+00:00,"Happy Birthday, @JovitaMoore! Wishing you the very best as you spend your special day with family and friends.

Georgia loves you and we are praying for your recovery! twitter.com/jesteveztv/sta…",5,25,180,1,senatorwarnock,Twitter,https://twitter.com/SenatorWarnock/status/1445178570104582150,,['https://twitter.com/jesteveztv/status/1445014995310452746'],happy birthday wishing best spend special day family friendsgeorgia loves praying recovery twittercomjesteveztvsta,"['happy', 'birthday', 'wishing', 'best', 'spend', 'special', 'day', 'family', 'friendsgeorgia', 'loves', 'praying', 'recovery', 'twittercomjesteveztvsta']",15,211,False
33,Rob Portman,Senate,Republican,OH,,2021-10-05 00:01:13+00:00,That’s why I’ll continue to call for new agreements with Japan and the U.K. The recent USMCA shows us there is a bipartisan path forward on trade—let’s take it.,3,1,15,0,senrobportman,Twitter,https://twitter.com/senrobportman/status/1445177216212639747,,[],thats ill continue call new agreements japan uk recent usmca shows us bipartisan path forward tradelets take,"['thats', 'ill', 'continue', 'call', 'new', 'agreements', 'japan', 'uk', 'recent', 'usmca', 'shows', 'us', 'bipartisan', 'path', 'forward', 'tradelets', 'take']",9,19,False
34,Rob Portman,Senate,Republican,OH,,2021-10-05 00:01:12+00:00,I look forward to working with @USTradeRep Tai to provide the tools she needs to be successful. portman.senate.gov/newsroom/press…,1,1,3,0,senrobportman,Twitter,https://twitter.com/senrobportman/status/1445177213738012672,,['https://www.portman.senate.gov/newsroom/press-releases/portman-brown-urge-administration-work-congress-develop-new-trade-remedy'],look forward working tai provide tools needs successful portmansenategovnewsroompress,"['look', 'forward', 'working', 'tai', 'provide', 'tools', 'needs', 'successful', 'portmansenategovnewsroompress']",1,5,False
35,Rob Portman,Senate,Republican,OH,,2021-10-05 00:01:12+00:00,"I completely agree that we need new tools to protect American workers from China’s non-market economic practices. I’ve already proposed new bipartisan tools with my Leveling the Playing Field Act 2.0, and urged the administration to support that bill in May.",9,1,14,0,senrobportman,Twitter,https://twitter.com/senrobportman/status/1445177212517371905,,[],completely agree need new tools protect american workers chinas nonmarket economic practices ive already proposed new bipartisan tools leveling playing field act urged administration support bill may,"['completely', 'agree', 'need', 'new', 'tools', 'protect', 'american', 'workers', 'chinas', 'nonmarket', 'economic', 'practices', 'ive', 'already', 'proposed', 'new', 'bipartisan', 'tools', 'leveling', 'playing', 'field', 'act', 'urged', 'administration', 'support', 'bill', 'may']",-1,24,False
36,Rob Portman,Senate,Republican,OH,,2021-10-05 00:01:12+00:00,"However, I wish today we saw a recognition of the value that trade agreements offer for reducing confronting China. Opening foreign markets for U.S. made goods supports good paying jobs and reducing dependency on China.",4,1,11,0,senrobportman,Twitter,https://twitter.com/senrobportman/status/1445177214954266628,,[],however wish today saw recognition value trade agreements offer reducing confronting china opening foreign markets us made goods supports good paying jobs reducing dependency china,"['however', 'wish', 'today', 'saw', 'recognition', 'value', 'trade', 'agreements', 'offer', 'reducing', 'confronting', 'china', 'opening', 'foreign', 'markets', 'us', 'made', 'goods', 'supports', 'good', 'paying', 'jobs', 'reducing', 'dependency', 'china']",9,16,False
37,Rob Portman,Senate,Republican,OH,,2021-10-05 00:01:10+00:00,"In April, I led a letter to USTR Tai signed by 39 bipartisan Senators urging a restart to the China tariff exclusion process. Targeted tariff relief supports American #jobs and helps move supply chains away from China.
portman.senate.gov/index.php/news…",2,1,3,0,senrobportman,Twitter,https://twitter.com/senrobportman/status/1445177204120432642,,['https://www.portman.senate.gov/index.php/newsroom/press-releases/portman-carper-38-colleagues-urge-us-trade-representative-help-us'],april led letter ustr tai signed bipartisan senators urging restart china tariff exclusion process targeted tariff relief supports american jobs helps move supply chains away chinaportmansenategovindexphpnews,"['april', 'led', 'letter', 'ustr', 'tai', 'signed', 'bipartisan', 'senators', 'urging', 'restart', 'china', 'tariff', 'exclusion', 'process', 'targeted', 'tariff', 'relief', 'supports', 'american', 'jobs', 'helps', 'move', 'supply', 'chains', 'away', 'chinaportmansenategovindexphpnews']",12,6,False
38,Rob Portman,Senate,Republican,OH,,2021-10-05 00:01:09+00:00,"Pleased to see @USTradeRep Tai announce her new China strategy at @CSIS. There is much to like here including engagement with China on compliance with the Phase 1 deal, new tariff exclusions, and a recognition of the need for new trade enforcement tools to protect American #jobs.",4,3,6,1,senrobportman,Twitter,https://twitter.com/senrobportman/status/1445177202723729411,,[],pleased see tai announce new china strategy much like including engagement china compliance phase deal new tariff exclusions recognition need new trade enforcement tools protect american jobs,"['pleased', 'see', 'tai', 'announce', 'new', 'china', 'strategy', 'much', 'like', 'including', 'engagement', 'china', 'compliance', 'phase', 'deal', 'new', 'tariff', 'exclusions', 'recognition', 'need', 'new', 'trade', 'enforcement', 'tools', 'protect', 'american', 'jobs']",9,14,False
