,topic,topName,postCount,summary,topEnga,D,R,I
10,c9,9_climate_infrastructure_energy_investments,85,"Tom Emmer (Republican-MN) said: Clearly there is no path for digital asset securities to be traded anywhere, so it is clear that retail investors would be hurt by Gensler’s actions. If we don’t get sabotaged by our own side. time.com/6104210/biden-…
Val Butler Demings (Democrat-FL) said: Our infrastructure plan is a direct investment back into Florida’s working families. Pramila Jayapal (Democrat-WA) said: We can’t pit childcare against Medicare expansion or housing against climate action. These are all necessary and popular priorities — and it’s time to make real investments into them so we finally deliver transformational change.",25585,45.0,13.0,1.0
11,c10,10_bank_privacy_accounts_account,74,"Sheldon Whitehouse (Democrat-RI) said: Do the dark money forces who prop up McConnell actually want a default? Normal people don’t think this way, but are the big creepy dark-money donors normal? We should use the reconciliation bill to close trust loopholes and give the IRS the resources to unravel the complex schemes of corporate tax cheats and the ultra-wealthy. wsj.com/articles/inter…
John Cornyn (Republican-TX) said: GOP Now Viewed as Better Party for Security, Prosperity news.gallup.com/poll/355511/go…
Elise M. Stefanik (Republican-NY) said: Why do Democrats want the government to be able to access your bank transactions?",38554,9.0,44.0,0.0
12,c11,11_reproductive_abortion_titlex_womens,68,"Thomas Massie (Republican-KY) said: I agree with @RepChipRoy. foxnews.com/politics/rep-c…
Elizabeth Warren (Democrat-MA) said: This is an important victory. I'm glad the Biden-Harris administration reversed this awful policy. We must fix the broken filibuster rules, pass federal voting rights protections and codify Roe v. Wade in federal law with #WHPA. twitter.com/senalexpadilla…
Raphael G. Warnock (Democrat-GA) said: This morning, I joined @Morning_Joe to make clear that expanding Medicaid is our best shot at leveling the playing field and ensuring every American—no matter their income or zip code—has access to life-saving health care.",12125,39.0,10.0,0.0
13,c12,12_voting_rights_vote_democracy,67,"Raphael G. Warnock (Democrat-GA) said: Rep. John Lewis was my parishioner, but make no mistake—he was my mentor and a deep source of inspiration. Jon Ossoff (Democrat-GA) said: Sen. @ossoff joined his colleagues today in introducing the John R. Lewis Voting Rights Advancement Act of 2021, landmark legislation that would restore key parts of the Voting Rights Act to protect the sacred right to vote. https://t.co/tBptBkN4tX
Terri Sewell (Democrat-AL) said: It's official!! 🙌🏾 The Senate has moved forward with introduction of S4, the John R. Lewis Voting Rights Advancement Act! RestoreTheVote #GoodTrouble twitter.com/SenateDems/sta…
Raphael G. Warnock (Democrat-GA) said: As our beloved John Lewis used to say, it’s time to get into some #GoodTrouble.",67742,34.0,3.0,0.0
14,c13,13_spill_drilling_spills_wildlife,55,"Katie Porter (Democrat-CA) said: As Chair of @NRDems' Oversight and Investigations Subcommittee, I'm working to get answers on behalf of Orange County families about the massive oil leak off our coast. https://t.co/oBvqmy9emc
Katie Porter (Democrat-CA) said: Our recovery from the recent oil leak will require coordination from federal, state, and local officials. https://t.co/m5RK8SpTSK
Ted Lieu (Democrat-CA) said: The Pacific Coast has experienced repeated, massive oil spills, which are devastating to our coastal communities. It's time to permanently end offshore oil drilling along the West Coast. Our environment and our communities depend on it.",10806,25.0,3.0,0.0
15,c14,14_spending_democrats_trillion_tax,55,"Ilhan Omar (Democrat-MN) said: Wealth of U.S. billionaires: $3.65 trillion

Estimated annual cost of the Build Back Better Act: $350 billion
 
We don’t suffer from scarcity. Marsha Blackburn (Republican-TN) said: Democrats are willing to bankrupt future generations. Even if you try to ""pay for it"" by taxing Americans’ hard-earned money, the price tag doesn’t change. This would DEVASTATE America for our future generations. Elise M. Stefanik (Republican-NY) said: Democrats are trying to remake America with their reckless trillion dollar spending spree.",36167,3.0,36.0,0.0
16,c15,15_career_workforce_students_applications,55,"House Committee on the Judiciary (N/A-N/A) said: How long until Joe Biden’s FBI sends undercover agents to school board meetings? StuartScheller's request to resign be approved &amp; that he be honorably discharged. Register: usaid-hsi.conference.tc/catalog/2021 https://t.co/rtQdJHJ6Xp
Jon Tester (Democrat-MT) said: I’m continuing to push @USDOL to re-open Montana’s Job Corps Centers for in-person learning. Thank you to @TheGarden for coming to #StatenIsland! https://t.co/4RFKnQ9J7c
Jake Auchincloss (Democrat-MA) said: This morning, Eagle Scout Brendan Kelley interviewed me for the Library of Congress’s Veteran History Project.",7608,22.0,22.0,0.0
17,c16,16_teachers_worldteachersday_educators_students,54,"Kyrsten Sinema (Democrat-AZ) said: Happy World Teachers Day, Arizona! Joe Manchin, III (Democrat-WV) said: Today on #WorldTeacherDay, we honor and celebrate our incredible #WV teachers who educate and prepare the next generation of West Virginians. Joaquin Castro (Democrat-TX) said: Happy #WorldTeachersDay to every educator in San Antonio and Texas. Did you grow up having a favorite teacher?",7032,32.0,18.0,0.0
18,c17,17_taiwan_china_chinese_communist,47,"Marsha Blackburn (Republican-TN) said: Communist China is a national security threat, and it’s time Biden starts treating them like one. As the Chinese Communist Party escalates threats against Taiwan, I stand with President Tsai @iingwen &amp; the Taiwanese people. foxnews.com/world/china-ma…
Marsha Blackburn (Republican-TN) said: The United States must stand strong against communism and China’s aggression. I hope I’m proven wrong &amp;Pres Biden is playing long game to get the Chinese to the table But I see no evidence of that so far
Mitt Romney (Republican-UT) said: Amid significant threats posed by China's illicit actions and global ascendancy, the U.S. Ambassador to China is one of the most consequential diplomatic positions to hold. Met with Nicholas Burns to discuss his nomination and the strategic posture we must have with China.",7816,1.0,23.0,0.0
19,c18,18_mental_mentalillnessawarenessweek_stigma_suicide,46,"Joe Manchin, III (Democrat-WV) said: During #MentalIllnessAwarenessWeek, let’s work together to raise awareness, fight stigma and support the millions of Americans and thousands of West Virginians living with mental health illnesses. sen.gov/OKJX
Debbie Stabenow (Democrat-MI) said: This pandemic has taken a toll on so many people's mental health. Their work is important every week, but especially during #MentalIllnessAwarenessWeek. You are not alone, and help is out there.",3602,30.0,5.0,0.0
20,c19,19_subcommittee_legislation_historical_legislative,45,"Chip Roy (Republican-TX) said: NEW: 🚨🚨🚨

In a Wednesday letter to Republicans in the House and Senate, Roy warned that if any of them voted for the NDAA as it stands now, they will never receive his vote for ""President, Speaker, Leader, or otherwise."" #DontDraftOurDaughters

foxnews.com/politics/rep-c…
Joe Neguse (Democrat-CO) said: Our bill to establish the Amache National Historic Site is getting a hearing in the Senate! Thank you @SenatorBennet &amp; @SenatorHick for helping to honor the Amache story and the survivors who lived through this dark time in our history. congress.gov/bill/117th-con…
Liz Cheney (Republican-WY) said: Appreciated the opportunity to sit down w/ Valeria Fugate in-studio at @KGWNtv in Cheyenne this afternoon to talk about the work I’m doing in Congress to push back against the Biden Administration's overreach and other key issues relevant to Wyoming. Now the bill is being considered in the Senate.",1879,12.0,11.0,0.0
21,c20,20_trump_president_dictator_ransacked,42,"Rand Paul (Republican-KY) said: None of us will always agree with our elected officials. They tried to finish the rioters’ job and end democracy. theguardian.com/us-news/2021/o…
Bill Pascrell, Jr. (Democrat-NJ) said: 272 days ago terrorists ransacked the US Capitol and *hours later* 138-of-202 (68%) House republicans voted to make trump a dictator. twitter.com/Heritage/statu…
Andy Biggs (Republican-AZ) said: Another reason why Mayorkas needs to go. He is actively dismantling our nations security.",40251,6.0,24.0,0.0
22,c21,21_loan_forgiveness_servants_borrowers,39,"Elizabeth Warren (Democrat-MA) said: Predatory for-profit colleges have a long history of loading students up with debt for useless degrees. businessinsider.com/biden-ftc-for-…
Elizabeth Warren (Democrat-MA) said: I'm glad @SecCardona is undertaking this major overhaul of the Public Service Loan Forgiveness program to fulfill our promises to borrowers. Now: let’s cancel at least $50,000 of student loan debt per borrower — regardless of where they work. nytimes.com/2021/10/06/us/…
Raúl M. Grijalva (Democrat-AZ) said: This is a step forward in the right direction to rectify the blatant issues with the Public Service Loan Forgiveness program that the previous administration chose to ignore. I've long called for top-down reform, and I'm glad @POTUS is delivering.",4359,27.0,1.0,0.0
23,c22,22_funding_americanrescueplan_federal_delegation,38,"Kathy Castor (Democrat-FL) said: ⏰Florida is the ONLY state to not apply for its remaining federal #Covid19 emergency $ to aid K-12 schools. https://t.co/e1HqdxQF8V
Jim Cooper (Democrat-TN) said: Spearheaded by House Democrats, pandemic relief aid has saved so many of our local venues and treasures. I’m proud SBA chose to highlight this success in Nashville. That's why I helped create and fund a targeted grant program that's now helped more than 100 Iowa venues funds cover their losses &amp; keep their doors open. Brad Sherman (Democrat-CA) said: Was glad to speak at @CSUNorthridge about my efforts to fight for federal aid for higher education at today’s @CAGovernor Newsom bill signing with great California champions of higher education @EleniforCA @AsmJesseGabriel @AsmKevinMcCarty @MariaEDurazo @AsmReyes47 @AsmMarcBerman https://t.co/ei5aRhKVds
Kathleen M. Rice (Democrat-NY) said: Educating our children has been a challenge during COVID, but our local schools have done an incredible job.",796,27.0,5.0,0.0
24,c23,23_gun_violence_school_shooting,31,"Pramila Jayapal (Democrat-WA) said: This cannot be the normal we return to. How have we allowed ourselves to become the kind of country where a teen carries a .45 cal handgun to settle fights &amp; officials praise survivors for huddling in fear?! twitter.com/nbcdfw/status/…
Jerrold Nadler (Democrat-NY) said: It's well past time that Congress summons the #couragetoact and end the gun violence epidemic. I cannot understand how @SenTedCruz or any @GOP member can read this and still believe there is nothing Congress can do to end these school shootings. twitter.com/cbs11jasonalle…
Tammy Baldwin (Democrat-WI) said: Last year, Wisconsin gun deaths rose by nearly 50%.",3586,22.0,2.0,0.0
25,c24,24_inflation_prices_rising_spending,31,"Elise M. Stefanik (Republican-NY) said: Inflation is taxation. https://t.co/TP1yu0LKed
Mark E. Green (Republican-TN) said: Thanks to President Biden, inflation has hit a 30-year high. The value of Americans’ income is dropping while the price of everyday goods is increasing. 1/2) cnbc.com/2021/10/01/key…
Rick Scott (Republican-FL) said: These price hikes on everyday goods caused by Biden's raging inflation crisis especially hurt low &amp; fixed income families, like mine growing up. Biden's unconstitutional vaccine mandates will only make things worse by further crippling supply chains &amp; driving prices up more.",5626,0.0,29.0,0.0
26,c25,25_farm_dairy_farmers_producers,31,"Pramila Jayapal (Democrat-WA) said: Thank you to all of the @ILWUlongshore dockworkers for your incredible dedication to keeping our community and economy moving throughout the pandemic — you are truly the strongest link in our supply chain! # I'm grateful to have @RMFUnion's support on this critical legislation. https://t.co/3i7a1ZGkGo
Tommy Tuberville (Republican-AL) said: Food security is national security, which is why the agriculture industry needs a seat at the table for the foreign investment vetting process. We must safeguard our food supply chains and agriculture industry from bad actors, like China. https://t.co/Xkx83cdLz7
W. Gregory Steube (Republican-FL) said: Our district is the proud home to many of our nation's dairy farmers and producers.",1133,12.0,11.0,0.0
27,c26,26_violence_women_survivors_victims,31,"Christopher A. Coons (Democrat-DE) said: The Violence Against Women Act is one of the most important pieces of legislation Congress has passed in recent memory. I asked Lisa Monaco for the Justice Department’s commitment to address the disparity of domestic violence in native communities. https://t.co/h9Qb8rZVU2
Carolyn Bourdeaux (Democrat-GA) said: 1 in 3 women endures some form of physical violence by an intimate partner. Someone you know may be suffering in silence. This #DomesticViolenceAwarenessMonth, let's support survivors by renewing #VAWA https://t.co/rUOf1dlt3n
Senate Committee on the Judiciary (N/A-N/A) said: WATCH LIVE: At 10:00 AM ET, the Senate Judiciary Committee will hold a hearing entitled “Renewing and Strengthening the Violence Against Women Act.” #",3676,17.0,6.0,0.0
28,c27,27_dr_twittercomnihdirectorst_scientific_health,30,"Lisa Murkowski (Republican-AK) said: My message I recently shared on the Senate floor was this: While our state’s hospitals are maxed out, healthcare workers are doing the best job possible. I wish this MD08 visionary the best as he returns to one of the most important projects in the history of science—mapping the human genome. twitter.com/NIHDirector/st…
Patty Murray (Democrat-WA) said: I’m grateful to @NIHDirector Collins for his years of dedicated service as the head of @NIH. For the last twelve years, we have partnered to advance medical research and ensure the best health outcomes for our county. WorldCerebralPalsyDay https://t.co/Uel8rywnWS
Steny H. Hoyer (Democrat-MD) said: I join in thanking Dr. Francis Collins for his years of service as Director of the @NIH and his work to improve the health of all Americans and promote cutting-edge medical research.",2964,15.0,8.0,0.0
29,c28,28_hbcus_institutions_racial_generations,27,"James E. Clyburn (Democrat-SC) said: HBCUs are some of the most important institutions in our country, yet they are often underfunded and undermaintained. We must protect and preserve these historic institutions for future generations. # FullyFundHBCUs https://t.co/rnLoTBIsFB
André Carson (Democrat-IN) said: HBCUs have been at the very heart of addressing our nation’s longstanding racial inequities. Yet they've suffered from underinvestment, deferred maintenance, and discrimination. https://t.co/Lr0JosS3tP
Terri Sewell (Democrat-AL) said: HBCUs are critical in addressing longstanding racial inequities, but for too long they've suffered from underinvestment.",1534,15.0,1.0,0.0
30,c29,29_gas_energy_prices_paying,27,"Ken Buck (Republican-CO) said: Thanks Joe! cnbc.com/2021/10/06/ame…
Patrick J. Toomey (Republican-PA) said: Instead of encouraging US natural gas production &amp; expanding energy infrastructure to avert 🚀 energy prices, Dems are shuttering pipelines, imposing drilling bans, &amp; drawing up plans to tax &amp; regulate natural gas out of existence as part of their reckless tax and spending spree. Gas prices are more than $1 higher than this time last year. Bidenflation
Guy Reschenthaler (Republican-PA) said: Biden’s war on natural gas &amp; oil caused skyrocketing prices this summer.",1206,1.0,23.0,0.0
31,c30,30_app_deadline_apply_academy,26,"Lauren Underwood (Democrat-IL) said: There’s still time to apply for the @CongressionalAC! Applications are open to all IL-14 middle school and high school students. Don't miss out on the chance to attend one of our nation's prestigious Service Academies. Learn more here: congressionalappchallenge.us twitter.com/CongressionalA…
G. K. Butterfield (Democrat-NC) said: Are you a middle or high school student interested in learning how to code? For more info, visit our website: mast.house.gov/service-academ… https://t.co/2OPgRwHGAs
Jesús G. ""Chuy"" García (Democrat-IL) said: FAFSA is available each year starting on October 1st.",227,16.0,9.0,0.0
32,c31,31_penalty_police_officers_crime,26,"Rand Paul (Republican-KY) said: The punk who assaulted the policeman defending my wife and I in DC went free but the Biden Admin. labels concerned parents as “domestic terrorists?” The death penalty is a tool that perpetuates racialized violence. washingtonpost.com/nation/2021/10…
Ken Buck (Republican-CO) said: We have a crime crisis in this country. @GabbyGiffords and I are sending our condolences to the family of Mike Garbo, and are hoping for the recovery of the other two who were injured.kold.com/2021/10/05/dea…
Ken Buck (Republican-CO) said: Local and state authorities are well equipped to make arrests and prosecute threats or acts of violence.",23129,15.0,8.0,0.0
33,c32,32_women_gay_designs_lgbtq,25,"Paul A. Gosar (Republican-AZ) said: Women are women. Val Butler Demings (Democrat-FL) said: Proud to celebrate LGBTQ+ History Month alongside my constituents. https://t.co/FTwXAaTx6y
Sylvia R. Garcia (Democrat-TX) said: On this #LGBTQHistoryMonth, we honor the memory of activist &amp; trailblazer Monica Roberts. The 2022 American Women Quarters Program is helping right that wrong by honoring the triumphs of Maya Angelou, Dr. Sally Ride, Wilma Mankiller, Nina Otero-Warren &amp; Anna May Wong. # Instead of fictional creatures, how about we honor the *real* women whose accomplishments have shaped our country?",2125,16.0,5.0,0.0
34,c33,33_nationalnightout_tonight_radiofoxnewscom20211005rep_night,24,"Jim Jordan (Republican-OH) said: radio.foxnews.com/2021/10/05/rep…
Andy Biggs (Republican-AZ) said: Great news! Scheller is set to be released from brig. foxnews.com/media/john-ker…
House Committee on the Judiciary (N/A-N/A) said: 🔥🔥🔥 radio.foxnews.com/2021/10/05/rep…
Lee M. Zeldin (Republican-NY) said: Don’t miss @Gutfeldfox tonight! 💪🇺🇸
Jamie Raskin (Democrat-MD) said: Such a glorious weekend in #MD08! @jeff_poor
@mattmurphyshow
@ValerieVining
@jfradioshow
@SandyRiosTweet
@MichaelYaffee
@1055WERC
@TheDaleJackson
@fmtalk1065 https://t.co/w4ugQlHX6G
Ritchie Torres (Democrat-NY) said: Tune in tonight @MSNBC @chrislhayes https://t.co/SwwOaz68z5
Cynthia Axne (Democrat-IA) said: Had a fun flyover at my town hall at Gray’s Lake Park last night!",15208,10.0,10.0,0.0
35,c34,34_prescription_drugs_drug_opioid,24,"Katie Porter (Democrat-CA) said: BS Floor Speech (2021) 🎬
Starring: Mitch McConnell
Directed by: Big Pharma
Written by: Big Pharma
Financed by: Big Pharma twitter.com/therecount/sta…
Katie Porter (Democrat-CA) said: REMINDER: Big Pharma spends *billions* more on schemes to enrich shareholders than they do on research and development. Elizabeth Warren (Democrat-MA) said: I'm with @SenatorWarnock on this: Medicaid saves lives. Congress must close the Medicaid coverage gap in the reconciliation package to expand health coverage for millions—and I'll keep fighting to get it done. 🇺🇸
Pramila Jayapal (Democrat-WA) said: If Big Pharma and other corporate lobbyists want to kill our popular Build Back Better agenda, I think that means we’re on the right track to finally putting people over profits  🤷🏾‍♀️
nytimes.com/2021/10/04/us/…
Lauren Underwood (Democrat-IL) said: My priority from Day One has been to make health care and prescription drugs affordable. https://t.co/pRC3gcKwOV
Jeff Merkley (Democrat-OR) said: Prescription drug prices are sky high in America—and consumers are paying the price.",66877,15.0,3.0,1.0
36,c35,35_infrastructure_buildbackbetter_bipartisan_build,24,"Ilhan Omar (Democrat-MN) said: We need BOTH the Build Back Better Act AND the infrastructure bill. https://t.co/hwtLQwfpgA
Raphael G. Warnock (Democrat-GA) said: Headed to @Morning_Joe to talk about my new @USATODAYopinion piece on the huge opportunity before Congress to save lives, save hospitals &amp; create jobs by expanding life-saving care to millions of Georgians &amp; Americans. Our plan fulfills the urgency Americans rightfully demand of their government. We’ll be taking about the latest on the #BuildBackBetter bill and the Bipartisan Infrastructure deal. It should be judged on its own merits &amp; voted on independent of any other legislative initiative.",3221,12.0,4.0,0.0
37,c36,36_workers_employers_job_jobs,23,"Jim Jordan (Republican-OH) said: 15 days to slow the spread. Bernard Sanders (Independent-VT) said: Does Senator Manchin not believe that at a time when we have a major labor shortage because our young people lack the skills they need that they are not entitled to at least two years of free community college? Mail hasn't been this slow since the 1970s. tapinto.net/towns/fair-law…
Chrissy Houlahan (Democrat-PA) said: Our list of employers for next week's #JobFair is nearly set. More than 350 business experts agree: It's time for universal, guaranteed #PaidLeave.",17715,14.0,6.0,1.0
38,c37,37_cybersecurity_cyber_cyberattacks_attacks,23,"Patrick T. McHenry (Republican-NC) said: The U.S. should be a global leader, not a global follower, when it comes to digital assets. Read more: …publicans-financialservices.house.gov/news/documents…
Patrick T. McHenry (Republican-NC) said: #ICYMI: On Sunday I joined @FCPwithGreta to discuss the importance of understanding and embracing #crypto and why my bill, the Eliminate Barriers to Innovation Act, will help. With cyberattacks on the rise, this is incredibly important. My bill would help U.S. law enforcement better identify cyberthreats and take on the growing challenge of cybercrime. https://t.co/CeqSd3LRAJ
Jay Obernolte (Republican-CA) said: Thank you @SteveScalise for the cookie cake in honor of the passage of my first stand-alone bill!",6551,6.0,8.0,1.0
39,c38,38_chemicals_contaminants_water_environment,21,"Sheldon Whitehouse (Democrat-RI) said: Polluters are trying to sink my REDUCE Act, so I’m here to lay out the facts. https://t.co/wbRE3AockD
James P. McGovern (Democrat-MA) said: “Forever chemicals” have contaminated communities living downwind and downstream from industrial #PFAS polluters for too long. I am proud to work for the protection the environment and these communities deserve. I appreciate Army assistant secretary nominee Rachel Jacobson's commitment to combat and remediate contamination by these toxic chemicals. Watch Tom’s full questioning here: ytube.io/3MKs https://t.co/Okf3TS2TPR
House Committee on Transportation and Infrastructure (N/A-N/A) said: “Forever chemicals” contaminate too many of our lakes, rivers and streams, to the detriment of all those who depend on clean waterways.",3675,11.0,3.0,0.0
40,c39,39_hall_questions_hosting_830pm,20,"Cori Bush (Democrat-MO) said: This Thursday at 6 PM CT, we're hosting a telephone Town Hall on housing in St. Louis with experts from St. Louis City and County! Thank you for your insightful questions and for taking the time to visit with me! RSVP here: fb.me/e/1AWJWPIsw https://t.co/3HtduXwvGr
Josh Harder (Democrat-CA) said: I want to hear from you! Portage #WI06 https://t.co/D7rSdlsrqQ
John Katko (Republican-NY) said: I joined the Solvay VFW to celebrate Manuel Martinez’s 100th and presented him with a Congressional Certificate as well as a flag flown over the U.S. Capitol to celebrate.",372,10.0,9.0,0.0
41,c40,40_judge_court_district_attorneys,20,"Charles E. Schumer (Democrat-NY) said: NEWS: The Senate just confirmed Damian Williams, Breon Peace, and Carla Freedman to be the US Attorneys for NY's Southern, Eastern, and Northern Districts. They are committed to ensuring equal justice under law and @GillibrandNY and I were proud to recommend them to @POTUS. She is a talented &amp; experienced practitioner of the law, &amp; would be the first ever Native American federal judge in WA state. https://t.co/pxRXwsA238
Richard Blumenthal (Democrat-CT) said: Judge Merriam exemplifies the highest qualities of CT’s District Court—extraordinary intelligence &amp; integrity, a deep commitment to fair &amp; caring consideration of everyone seeking justice, &amp; unstinting dedication to our state &amp; nation.",12092,9.0,6.0,1.0
42,c41,41_steelhousegovmediapressre_rosshousegovmediapressre_themountaineercomnewsfemasba_davidshousegovmediapressre,19,"Edward J. Markey (Democrat-MA) said: Here's my message for Mark Zuckerberg. https://t.co/Bp8a4p3OC2
Madison Cawthorn (Republican-NC) said: FINISH THE WALL

foxnews.com/us/del-rio-res…
Ken Buck (Republican-CO) said: Where is Mark Zuckerberg? Raphael G. Warnock (Democrat-GA) said: usatoday.com/story/opinion/…
Tina Smith (Democrat-MN) said: Here’s a link to the full letter: https://t.co/0hUN11aINf
House Committee on Foreign Affairs (N/A-N/A) said: Read the full statement: foreignaffairs.house.gov/press-releases…
Madison Cawthorn (Republican-NC) said: themountaineer.com/news/fema-sba-…
Mike Lee (Republican-UT) said: Ms. Haugen's response. https://t.co/jQBtfLvDzU
Eleanor Holmes Norton (Democrat-DC) said: Details: bit.ly/3adH7UE
Sharice Davids (Democrat-KS) said: Read more: davids.house.gov/media/press-re…",2886,9.0,5.0,0.0
43,c42,42_disaster_emergency_aid_fema,18,"John Kennedy (Republican-LA) said: 500K Louisianians depend on the National Flood Insurance Program, but FEMA is hiking insurance rates. axios.com/california-new…
Young Kim (Republican-CA) said: This is the right move &amp; I join my colleague @RepSteel in urging @GavinNewsom to ask @POTUS to authorize a major disaster declaration for Orange County. Register here: ushr.zoomgov.com/webinar/regist… https://t.co/mBUG9ArOCY
Jesús G. ""Chuy"" García (Democrat-IL) said: Congress has provided more than $6.5 billion in emergency aid to help HBCUs weather the COVID-19 pandemic, and the #BuildBackBetter Act includes over $30 billion in funding that would benefit these historic institutions. This will help schools like @ChicagoState. # Reminder that the Disaster Recovery Center I secured at Queens College is available to assist impacted individuals and businesses: bit.ly/2XN1E02.",722,9.0,7.0,0.0
